feature,value,0,1,2,3,4
attn_0_0_outputs,0,1.1332246,-0.40840372,-0.3094175,-0.49932083,-0.8113156
attn_0_0_outputs,1,0.1516065,1.1167766,0.025260253,-0.2131413,-0.52161336
attn_0_0_outputs,2,-0.46686745,0.10666172,1.0806463,-1.0526475,-0.5289504
attn_0_0_outputs,3,0.2850787,-0.29094976,-0.49835297,0.7789742,0.049411163
attn_0_0_outputs,4,-1.3908317,-0.73161894,-0.6908667,-0.7716815,1.4996207
attn_0_0_outputs,</s>,-0.49493694,-0.4056865,0.97681254,-0.033201717,0.28901646
attn_0_0_outputs,<pad>,0.09231055,-0.04900319,0.114395216,0.54701674,1.2594413
attn_0_0_outputs,<s>,-0.6609496,-0.11420092,0.07453996,0.11377157,0.17385513
attn_0_0_outputs,_,-0.4828245,0.34288114,-0.49899152,-0.30837554,-0.35643294
attn_0_0_outputs,_,0.1189778,0.015537467,-0.53168,-0.38175446,0.2978519
attn_0_0_outputs,_,0.110332385,0.52195287,-0.05424266,0.23494042,-0.3359175
attn_0_0_outputs,_,0.17325386,-0.42067596,-0.8520313,0.39827535,0.12479763
attn_0_0_outputs,_,-0.24839017,0.5890154,-0.08272389,-0.47360224,-0.4765906
attn_0_0_outputs,_,0.23410662,1.0312909,-0.59280235,-0.1780353,-0.10527574
attn_0_0_outputs,_,-0.43141127,0.46041226,-0.5116789,-0.11493145,0.43707252
attn_0_0_outputs,_,0.26578093,0.10535629,-0.16229033,-0.33472142,-0.4453897
attn_0_0_outputs,_,-0.27255887,0.39258724,-0.31910986,-0.08083391,0.6834612
attn_0_0_outputs,_,0.14918984,0.82191545,-0.22208698,0.17489022,-0.15628849
attn_0_0_outputs,_,-0.35874644,-0.38033503,-0.112397835,0.94018894,0.07739216
attn_0_0_outputs,_,0.21758123,-0.040945202,-0.5272455,0.10850729,0.032463007
attn_0_1_outputs,0,1.993631,-0.7291768,-0.62467813,-1.4101561,-1.4496385
attn_0_1_outputs,1,-0.20741571,1.5508246,-0.19021055,-0.2712661,-1.0365945
attn_0_1_outputs,2,-0.5443688,-0.34526148,0.80744547,-0.17922083,-0.90264696
attn_0_1_outputs,3,-0.72625303,-0.9155583,-0.1918484,1.140823,-0.23360603
attn_0_1_outputs,4,-1.8851573,-0.5230294,-1.4486858,0.58569866,1.2724819
attn_0_1_outputs,</s>,-0.42567906,-0.6294656,0.7533542,0.17195371,0.6936748
attn_0_1_outputs,<pad>,-1.1187303,-0.2000953,-0.10018838,-0.27002227,1.0565274
attn_0_1_outputs,<s>,-0.20843834,-0.055553578,-0.204047,0.54700255,0.40298378
attn_0_1_outputs,_,-0.47711375,-0.057547037,0.60012066,-0.41181982,0.49727
attn_0_1_outputs,_,-0.12774082,0.5612868,0.48953238,-1.0275222,0.5873399
attn_0_1_outputs,_,0.49262857,0.82536685,-0.11333854,0.38798967,-0.48552656
attn_0_1_outputs,_,-0.5673236,-0.15958738,-0.23742126,-0.18538073,0.3260477
attn_0_1_outputs,_,-0.41267827,0.51970243,-0.2284999,-0.60332763,-0.376593
attn_0_1_outputs,_,0.15704527,0.5086723,0.3813565,0.43567577,-0.38150302
attn_0_1_outputs,_,-0.11369838,0.40748683,-0.046887625,0.51695627,-0.10624891
attn_0_1_outputs,_,0.8727996,-0.25286624,-0.04065937,-0.077477165,0.52138364
attn_0_1_outputs,_,0.10303869,0.05191846,-0.50071424,0.6000916,0.2522024
attn_0_1_outputs,_,-0.3691204,-0.21900998,-0.016237877,-0.3806787,0.19548915
attn_0_1_outputs,_,0.07426364,0.42423847,0.17834973,-0.006906249,0.4435687
attn_0_1_outputs,_,-0.3194715,-0.045345057,-0.28214857,0.4664476,0.7836534
attn_0_2_outputs,0,1.306658,-0.402675,-0.5090797,-0.7896355,-1.3770229
attn_0_2_outputs,1,-0.12515841,1.438279,-0.09661235,-0.015543256,-0.83987546
attn_0_2_outputs,2,-0.48270205,-0.5744177,0.9933094,-0.25302187,-1.3119239
attn_0_2_outputs,3,-0.10124798,-0.4208348,0.05567165,0.9192599,-0.35787547
attn_0_2_outputs,4,-0.6230633,-1.7363236,-0.9363649,-0.048337277,2.3578727
attn_0_2_outputs,</s>,-0.10104932,-0.4643836,-0.17222123,-0.14363736,0.60138935
attn_0_2_outputs,<pad>,-0.18011688,0.19453022,0.6191731,0.30640826,1.3466995
attn_0_2_outputs,<s>,0.6109332,0.16591172,0.76156205,0.7222194,0.6210735
attn_0_2_outputs,_,0.15718587,-0.07678453,-0.32362995,-0.12058306,0.22467509
attn_0_2_outputs,_,-0.43513036,0.34674656,-0.45679173,-0.1871881,-0.2695532
attn_0_2_outputs,_,-0.35588473,0.11982223,-0.20548995,0.068481855,-0.08792424
attn_0_2_outputs,_,-0.29020983,0.121071525,-0.45748863,0.24256304,-0.18499283
attn_0_2_outputs,_,-0.30254707,0.73024786,0.43827337,-0.27565938,-0.29086104
attn_0_2_outputs,_,0.005519508,0.46847832,-0.025280466,0.030678166,0.14715447
attn_0_2_outputs,_,-0.07302758,0.28291094,0.05874001,0.71573573,0.13411649
attn_0_2_outputs,_,0.3334624,-0.7889074,0.16682257,-0.27426508,0.21080653
attn_0_2_outputs,_,0.1836605,0.1644082,-0.2457745,-0.10106048,0.29494226
attn_0_2_outputs,_,0.88813084,0.24198262,-0.0224164,0.5162404,-0.043005552
attn_0_2_outputs,_,-0.21806811,-0.0109883165,0.4461166,-0.17384788,0.5656266
attn_0_2_outputs,_,-0.44852412,-0.6723104,0.032966282,0.57320607,0.30028877
attn_0_3_outputs,0,3.0006187,-1.2751482,-0.44313574,-0.11598987,-0.37560397
attn_0_3_outputs,1,-1.2348019,0.632996,0.6209087,0.49195755,-0.26364833
